"dn" "rn" "init.cells.rads" "prob.death" "prob.prof"
"1" 0.00445883744763397 0.00209301458275877 0.01367150363978 0.0604160626023077 0.999056358635426
"2" 0.00838245788090699 0.00101947788288817 0.0472418901696801 0.0673795928177424 0.630459579452872
"3" 0.0127691404615643 0.00298301172594074 0.101294449903071 0.0312246740492992 0.488943721726537
"4" 0.00425903790680529 0.00189214829693083 0.0861826260620728 0.061048201683443 0.55974810924381
"5" 0.00942059035745473 0.00032159736554604 0.0249812923884019 0.0360840530553833 0.220790654048324
"6" 0.00600979838947323 0.00182407161977608 0.109512529233471 0.0510799466003664 0.828826134093106
"7" 0.0181982910849019 0.00194754369952716 0.121846471643075 0.0862024435773492 0.898549503833056
"8" 0.0149448036416548 0.00115227634634357 0.0256826158147305 0.045702935536392 0.689221604727209
"9" 0.00184505739748245 0.0023799323803978 0.0971192289143801 0.033451101530809 0.215646757930517
"10" 0.00722792159848101 0.00287184875505045 0.0455552480742335 0.0495386127592065 0.207949823699892
"11" 0.00117990142719704 0.00205459651292767 0.0736154397251084 0.0226268342556432 0.676248162798583
"12" 0.00840261434517708 0.00337245811941102 0.0459960157610476 0.0299174765823409 0.76599049270153
"13" 0.0116714069825115 0.00023597633256577 0.0191481976816431 0.0945030449284241 0.897106567211449
"14" 0.00186201445944095 0.00206577649852261 0.0424556959560141 0.0931193384132348 0.707933630235493
"15" 0.0126320574198118 0.00123830455506686 0.102443445888348 0.0508721681474708 0.920920661650598
"16" 0.0165295916878632 0.00214846726355609 0.0738044438371435 0.0483971988596022 0.525757889263332
"17" 0.0147404200380123 0.00204201461712364 0.138127842680551 0.0912564667197876 0.417108782939613
"18" 0.0139608689692649 0.00121557515789755 0.141693592155352 0.0413985348492861 0.87496780809015
"19" 0.0064046318004881 0.00324448591645341 0.118102079536766 0.0660716989403591 0.667487606965005
"20" 0.00489464126460766 0.00184019670379348 0.115829985612072 0.0442271744133905 0.226180155575275
"21" 0.0186637057764332 0.00312791417469271 0.11237767024897 0.024945583853405 0.291310698911548
"22" 0.0150989282358151 0.00128050184692256 0.0801000876259059 0.0974224063148722 0.684139871224761
"23" 0.00921933335521375 0.00298443634924479 0.0231423885561526 0.0991594739817083 0.444837359152734
"24" 0.0158433380574519 0.00275765016989317 0.102638979982585 0.0400321581284516 0.955126365832984
"25" 0.0103741140599202 0.000430966684012674 0.120985957421362 0.0130665241368115 0.866532672010362
"26" 0.0017729169440323 0.000499222344951704 0.0157108747214079 0.0177203254634514 0.542450131848454
"27" 0.00463370356309786 0.00220707382122055 0.0246388025814667 0.072430301818531 0.390179824829102
"28" 0.00548443386547687 0.00273329678480513 0.128823692807928 0.0215877817920409 0.71955393794924
"29" 0.00853782230408024 0.00322031404951122 0.0534433686221018 0.0720436790329404 0.640993185341358
"30" 0.0127878243501587 0.00283798538846895 0.0850279077980667 0.0735020761843771 0.505628568865359
"31" 0.0105347938729997 0.00315468798181973 0.0692394968122244 0.0502765777893364 0.874994584172964
"32" 0.00276232769456878 0.000108730376581661 0.0752959052147344 0.0783982276055031 0.25903334133327
"33" 0.00342240293351631 0.000920893630478531 0.100691019622609 0.0251058748434298 0.772181531041861
"34" 0.015811535865291 0.00288482423231471 0.065037504946813 0.085688444445841 0.325049840658903
"35" 0.00782564669566043 0.00106346602796111 0.059790409328416 0.0152126922551543 0.609875170886517
"36" 0.00844584233111772 0.00122024491301272 0.0107723858160898 0.0453744065901265 0.427929321490228
"37" 0.0015937888104741 0.000431454586097971 0.136750720287673 0.072976757439319 0.893506620265544
"38" 0.0132268061254737 0.00243308349011932 0.149701527962461 0.0579790648026392 0.684072459861636
"39" 0.0116555714944925 0.00298393898527138 0.0430172522272915 0.0276386388204992 0.497923463396728
"40" 0.000309266461299034 0.00171772935742047 0.14822711486835 0.0993758707493544 0.448182871006429
"41" 0.00951890856661368 0.00182167165761348 0.0228863704809919 0.0795649690600112 0.619964031688869
