Slice,Count,Total Area,Average Size,%Area,Mean
pattern glioma t3 -40um pt9_1.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_2.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_3.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_4.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_5.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_6.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_7.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_8.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_9.png,0,0,NaN,0,NaN
pattern glioma t3 -40um pt9_10.png,0,0,NaN,0,NaN
